epoch,train_loss,valid_loss,lr,weighted_rmse,weighted_mae,rmse,mse
0,328.12404481592955,255.48223305073466,0.001,,,,
1,185.52612901046854,215.29344979437286,0.001,,,,
2,168.13400775967293,219.62298881361798,0.001,,,,
3,171.8113581473892,176.2024025600245,0.001,,,,
4,151.58122323899167,139.11790844269058,0.001,,,,
5,148.34049550861562,144.7463499520869,0.001,,,,
6,144.6665973809624,132.7428163596678,0.001,,,,
7,142.27724908412935,127.58618604929727,0.001,,,,
8,137.32393628424876,130.0858948273797,0.001,,,,
9,133.53200330095436,127.2227089045198,0.001,,,,
10,131.1114573474635,124.35988827758997,0.001,,,,
11,128.14909437435418,127.2188242819687,0.001,,,,
12,126.28995392329449,127.63984216953259,0.001,,,,
13,123.19287018087546,125.97126934824851,0.001,,,,
14,121.0157660742279,129.02330124707197,0.001,,,,
15,119.09557326274408,128.0107926792749,0.001,,,,
16,117.87523581292045,124.39025109468164,0.001,,,,
17,116.00386601589965,130.75588724113607,0.001,,,,
18,114.77001042071002,131.59395342279333,0.001,,,,
19,108.12917350637703,129.58799884542697,0.0001,,,,
20,106.04252507216442,132.49536731726468,0.0001,,,,
21,104.70636919488771,130.40475521055154,0.0001,,,,
22,104.029101748716,134.6227871792483,0.0001,,,,
23,102.64130071181953,132.6129568382666,0.0001,,,,
24,103.4739117814996,130.8769748356314,0.0001,,,,
25,101.83867345263447,129.15247185104343,0.0001,,,,
26,101.45682039808653,132.29613966673764,0.0001,,,,
27,100.26761124075952,131.66108473301747,1e-05,,,,
28,100.41777878366786,130.33994756175468,1e-05,,,,
29,100.53609588139301,130.83570442264693,1e-05,,,,
